name,manufacturer,model,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,model_year_full,origin
ford country squire (sw),ford,country squire (sw),15.5,8,351.0,142.0,4054,14.3,79,1979,Usa
chevrolet malibu classic (sw),chevrolet,malibu classic (sw),19.2,8,267.0,125.0,3605,15.0,79,1979,Usa
chrysler lebaron town @ country (sw),chrysler,lebaron town @ country (sw),18.5,8,360.0,150.0,3940,13.0,79,1979,Usa
vw rabbit custom,volkswagen,rabbit custom,31.9,4,89.0,71.0,1925,14.0,79,1979,Europe
maxda glc deluxe,mazda,glc deluxe,34.1,4,86.0,65.0,1975,15.2,79,1979,Japan
dodge colt hatchback custom,dodge,colt hatchback custom,35.7,4,98.0,80.0,1915,14.4,79,1979,Usa
amc spirit dl,amc,spirit dl,27.4,4,121.0,80.0,2670,15.0,79,1979,Usa
mercedes benz 300d,mercedes-benz,benz 300d,25.4,5,183.0,77.0,3530,20.1,79,1979,Europe
cadillac eldorado,cadillac,eldorado,23.0,8,350.0,125.0,3900,17.4,79,1979,Usa
peugeot 504,peugeot,504,27.2,4,141.0,71.0,3190,24.8,79,1979,Europe
oldsmobile cutlass salon brougham,oldsmobile,cutlass salon brougham,23.9,8,260.0,90.0,3420,22.2,79,1979,Usa
plymouth horizon,plymouth,horizon,34.2,4,105.0,70.0,2200,13.2,79,1979,Usa
plymouth horizon tc3,plymouth,horizon tc3,34.5,4,105.0,70.0,2150,14.9,79,1979,Usa
datsun 210,datsun,210,31.8,4,85.0,65.0,2020,19.2,79,1979,Japan
fiat strada custom,fiat,strada custom,37.3,4,91.0,69.0,2130,14.7,79,1979,Europe
buick skylark limited,buick,skylark limited,28.4,4,151.0,90.0,2670,16.0,79,1979,Usa
chevrolet citation,chevrolet,citation,28.8,6,173.0,115.0,2595,11.3,79,1979,Usa
oldsmobile omega brougham,oldsmobile,omega brougham,26.8,6,173.0,115.0,2700,12.9,79,1979,Usa
pontiac phoenix,pontiac,phoenix,33.5,4,151.0,90.0,2556,13.2,79,1979,Usa
vw rabbit,volkswagen,rabbit,41.5,4,98.0,76.0,2144,14.7,80,1980,Europe
toyota corolla tercel,toyota,corolla tercel,38.1,4,89.0,60.0,1968,18.8,80,1980,Japan
chevrolet chevette,chevrolet,chevette,32.1,4,98.0,70.0,2120,15.5,80,1980,Usa
datsun 310,datsun,310,37.2,4,86.0,65.0,2019,16.4,80,1980,Japan
chevrolet citation,chevrolet,citation,28.0,4,151.0,90.0,2678,16.5,80,1980,Usa
ford fairmont,ford,fairmont,26.4,4,140.0,88.0,2870,18.1,80,1980,Usa
amc concord,amc,concord,24.3,4,151.0,90.0,3003,20.1,80,1980,Usa
dodge aspen,dodge,aspen,19.1,6,225.0,90.0,3381,18.7,80,1980,Usa
audi 4000,audi,4000,34.3,4,97.0,78.0,2188,15.8,80,1980,Europe
toyota corona liftback,toyota,corona liftback,29.8,4,134.0,90.0,2711,15.5,80,1980,Japan
mazda 626,mazda,626,31.3,4,120.0,75.0,2542,17.5,80,1980,Japan
datsun 510 hatchback,datsun,510 hatchback,37.0,4,119.0,92.0,2434,15.0,80,1980,Japan
toyota corolla,toyota,corolla,32.2,4,108.0,75.0,2265,15.2,80,1980,Japan
mazda glc,mazda,glc,46.6,4,86.0,65.0,2110,17.9,80,1980,Japan
dodge colt,dodge,colt,27.9,4,156.0,105.0,2800,14.4,80,1980,Usa
datsun 210,datsun,210,40.8,4,85.0,65.0,2110,19.2,80,1980,Japan
vw rabbit c (diesel),volkswagen,rabbit c (diesel),44.3,4,90.0,48.0,2085,21.7,80,1980,Europe
vw dasher (diesel),volkswagen,dasher (diesel),43.4,4,90.0,48.0,2335,23.7,80,1980,Europe
audi 5000s (diesel),audi,5000s (diesel),36.4,5,121.0,67.0,2950,19.9,80,1980,Europe
mercedes-benz 240d,mercedes-benz,240d,30.0,4,146.0,67.0,3250,21.8,80,1980,Europe
honda civic 1500 gl,honda,civic 1500 gl,44.6,4,91.0,67.0,1850,13.8,80,1980,Japan
renault lecar deluxe,renault,lecar deluxe,40.9,4,85.0,93.5,1835,17.3,80,1980,Europe
subaru dl,subaru,dl,33.8,4,97.0,67.0,2145,18.0,80,1980,Japan
vokswagen rabbit,volkswagen,rabbit,29.8,4,89.0,62.0,1845,15.3,80,1980,Europe
datsun 280-zx,datsun,280-zx,32.7,6,168.0,132.0,2910,11.4,80,1980,Japan
mazda rx-7 gs,mazda,rx-7 gs,23.7,3,70.0,100.0,2420,12.5,80,1980,Japan
triumph tr7 coupe,triumph,tr7 coupe,35.0,4,122.0,88.0,2500,15.1,80,1980,Europe
ford mustang cobra,ford,mustang cobra,23.6,4,140.0,93.5,2905,14.3,80,1980,Usa
honda accord,honda,accord,32.4,4,107.0,72.0,2290,17.0,80,1980,Japan
plymouth reliant,plymouth,reliant,27.2,4,135.0,84.0,2490,15.7,81,1981,Usa
buick skylark,buick,skylark,26.6,4,151.0,84.0,2635,16.4,81,1981,Usa
dodge aries wagon (sw),dodge,aries wagon (sw),25.8,4,156.0,92.0,2620,14.4,81,1981,Usa
chevrolet citation,chevrolet,citation,23.5,6,173.0,110.0,2725,12.6,81,1981,Usa
plymouth reliant,plymouth,reliant,30.0,4,135.0,84.0,2385,12.9,81,1981,Usa
toyota starlet,toyota,starlet,39.1,4,79.0,58.0,1755,16.9,81,1981,Japan
plymouth champ,plymouth,champ,39.0,4,86.0,64.0,1875,16.4,81,1981,Usa
honda civic 1300,honda,civic 1300,35.1,4,81.0,60.0,1760,16.1,81,1981,Japan
subaru,subaru,,32.3,4,97.0,67.0,2065,17.8,81,1981,Japan
datsun 210 mpg,datsun,210 mpg,37.0,4,85.0,65.0,1975,19.4,81,1981,Japan
toyota tercel,toyota,tercel,37.7,4,89.0,62.0,2050,17.3,81,1981,Japan
mazda glc 4,mazda,glc 4,34.1,4,91.0,68.0,1985,16.0,81,1981,Japan
plymouth horizon 4,plymouth,horizon 4,34.7,4,105.0,63.0,2215,14.9,81,1981,Usa
ford escort 4w,ford,escort 4w,34.4,4,98.0,65.0,2045,16.2,81,1981,Usa
ford escort 2h,ford,escort 2h,29.9,4,98.0,65.0,2380,20.7,81,1981,Usa
volkswagen jetta,volkswagen,jetta,33.0,4,105.0,74.0,2190,14.2,81,1981,Europe
renault 18i,renault,18i,34.5,4,100.0,93.5,2320,15.8,81,1981,Europe
honda prelude,honda,prelude,33.7,4,107.0,75.0,2210,14.4,81,1981,Japan
toyota corolla,toyota,corolla,32.4,4,108.0,75.0,2350,16.8,81,1981,Japan
datsun 200sx,datsun,200sx,32.9,4,119.0,100.0,2615,14.8,81,1981,Japan
mazda 626,mazda,626,31.6,4,120.0,74.0,2635,18.3,81,1981,Japan
peugeot 505s turbo diesel,peugeot,505s turbo diesel,28.1,4,141.0,80.0,3230,20.4,81,1981,Europe
volvo diesel,volvo,diesel,30.7,6,145.0,76.0,3160,19.6,81,1981,Europe
toyota cressida,toyota,cressida,25.4,6,168.0,116.0,2900,12.6,81,1981,Japan
datsun 810 maxima,datsun,810 maxima,24.2,6,146.0,120.0,2930,13.8,81,1981,Japan
buick century,buick,century,22.4,6,231.0,110.0,3415,15.8,81,1981,Usa
oldsmobile cutlass ls,oldsmobile,cutlass ls,26.6,8,350.0,105.0,3725,19.0,81,1981,Usa
ford granada gl,ford,granada gl,20.2,6,200.0,88.0,3060,17.1,81,1981,Usa
chrysler lebaron salon,chrysler,lebaron salon,17.6,6,225.0,85.0,3465,16.6,81,1981,Usa
chevrolet cavalier,chevrolet,cavalier,28.0,4,112.0,88.0,2605,19.6,82,1982,Usa
chevrolet cavalier wagon,chevrolet,cavalier wagon,27.0,4,112.0,88.0,2640,18.6,82,1982,Usa
chevrolet cavalier 2-door,chevrolet,cavalier 2-door,34.0,4,112.0,88.0,2395,18.0,82,1982,Usa
pontiac j2000 se hatchback,pontiac,j2000 se hatchback,31.0,4,112.0,85.0,2575,16.2,82,1982,Usa
dodge aries se,dodge,aries se,29.0,4,135.0,84.0,2525,16.0,82,1982,Usa
pontiac phoenix,pontiac,phoenix,27.0,4,151.0,90.0,2735,18.0,82,1982,Usa
ford fairmont futura,ford,fairmont futura,24.0,4,140.0,92.0,2865,16.4,82,1982,Usa
amc concord dl,amc,concord dl,23.0,4,151.0,93.5,3035,20.5,82,1982,Usa
volkswagen rabbit l,volkswagen,rabbit l,36.0,4,105.0,74.0,1980,15.3,82,1982,Europe
mazda glc custom l,mazda,glc custom l,37.0,4,91.0,68.0,2025,18.2,82,1982,Japan
mazda glc custom,mazda,glc custom,31.0,4,91.0,68.0,1970,17.6,82,1982,Japan
plymouth horizon miser,plymouth,horizon miser,38.0,4,105.0,63.0,2125,14.7,82,1982,Usa
mercury lynx l,mercury,lynx l,36.0,4,98.0,70.0,2125,17.3,82,1982,Usa
nissan stanza xe,nissan,stanza xe,36.0,4,120.0,88.0,2160,14.5,82,1982,Japan
honda accord,honda,accord,36.0,4,107.0,75.0,2205,14.5,82,1982,Japan
toyota corolla,toyota,corolla,34.0,4,108.0,70.0,2245,16.9,82,1982,Japan
honda civic,honda,civic,38.0,4,91.0,67.0,1965,15.0,82,1982,Japan
honda civic (auto),honda,civic (auto),32.0,4,91.0,67.0,1965,15.7,82,1982,Japan
datsun 310 gx,datsun,310 gx,38.0,4,91.0,67.0,1995,16.2,82,1982,Japan
buick century limited,buick,century limited,25.0,6,181.0,110.0,2945,16.4,82,1982,Usa
oldsmobile cutlass ciera (diesel),oldsmobile,cutlass ciera (diesel),38.0,6,262.0,85.0,3015,17.0,82,1982,Usa
chrysler lebaron medallion,chrysler,lebaron medallion,26.0,4,156.0,92.0,2585,14.5,82,1982,Usa
ford granada l,ford,granada l,22.0,6,232.0,112.0,2835,14.7,82,1982,Usa
toyota celica gt,toyota,celica gt,32.0,4,144.0,96.0,2665,13.9,82,1982,Japan
dodge charger 2.2,dodge,charger 2.2,36.0,4,135.0,84.0,2370,13.0,82,1982,Usa
chevrolet camaro,chevrolet,camaro,27.0,4,151.0,90.0,2950,17.3,82,1982,Usa
ford mustang gl,ford,mustang gl,27.0,4,140.0,86.0,2790,15.6,82,1982,Usa
vw pickup,volkswagen,pickup,44.0,4,97.0,52.0,2130,24.6,82,1982,Europe
dodge rampage,dodge,rampage,32.0,4,135.0,84.0,2295,11.6,82,1982,Usa
ford ranger,ford,ranger,28.0,4,120.0,79.0,2625,18.6,82,1982,Usa
chevy s-10,chevrolet,s-10,31.0,4,119.0,82.0,2720,19.4,82,1982,Usa
